nome_completo,descricao_curta,setor,subsetor,organizacao,localizacoes,latitude,longitude,endereco_principal,custo_estimado,moeda,custo_original,status_atividade,eh_ppp,tipo_projeto,arranjo_contratual,processo_licitacao,outro_arranjo_contratual,outro_processo_licitacao,GUID
Projeto Santa Brígida,A Definir,Water & Waste,Irrigation,SEPPI,Bahia,,,Bahia,0.0,BRL,,Project Definition,True,New,,,,,f064cc2f-470e-4bfa-bdb8-9ec3e1ee88db
5º leilão de óleo e gás da PPSA,A Definir,Energy,Other Energy,SEPPI,,,,,0.0,BRL,,Project Definition,True,New,,,,,f2811aa8-a620-4d91-bb8f-8ed1481a9a94
Saneamento - Minas Gerais (COPASA),A definir,Water & Waste,Waste Water Treatment,SEPPI,Estado de Minas Gerais,,,Estado de Minas Gerais,0.184949,BRL,0.184949 BRL,Project Definition,True,Refurbishment/Replacement,,,,,f48765da-6eb1-4184-90ca-2f34f9b7db2d
BR-060/153/GO/DF&#8203; - Rota do Pequi,A definir,Transport,Highway,SEPPI,Estado de Goiás; Distrito Federal,"{'address': 'DF', 'location': {'x': '-47.796917818896', 'y': '-15.780628855276'}, 'score': 100.0, 'attributes': {'ResultID': 2, 'Place_addr': 'Federal District', 'City': '', 'Subregion': '', 'Region': 'Federal District'}}","{'address': 'Estado de Goiás', 'location': {'x': '-49.63623', 'y': '-15.58071'}, 'score': 100.0, 'attributes': {'ResultID': 1, 'Place_addr': 'Goiás', 'City': '', 'Subregion': '', 'Region': 'Goiás'}}",Estado de Goiás,2479619880.0,BRL,2479619880.0 BRL,Project Definition,True,Refurbishment/Replacement,,,,,f6f5ce90-f129-42fa-8e83-c3eb2892a435
Habita&#231;&#227;o para Loca&#231;&#227;o Social - Santo Andr&#233;/SP,Projeto de estruturação de PPP no setor de habitação para locação social no Município de Santo André/SP.,Social Infrastructure,Housing,SEPPI,Santo André,,,Santo André,0.185443,BRL,0.185443 BRL,Project Definition,True,New,,,,,f7c3f476-97d0-49f5-a6d3-f7b925d9e60a
Unidades de Manejo da Flona de Iquiri/AM,A Definir,Other,Other,SEPPI,Amazonas,,,Amazonas,8881954.0,BRL,8881954.0 BRL,Project Definition,True,Refurbishment/Replacement,,,,,f857e215-6ed4-4a7c-937e-aca06cdffc43
Consórcio do Sertão do Araripe Pernambucano - CISAPE/PE,A Definir,Water & Waste,Solid Waste Facility,SEPPI,Pernambuco,,,Pernambuco,4364624.0,BRL,4364624.0 BRL,Project Definition,True,New,,,,,f9a33179-1540-4b88-8282-837a0e2bdb4b
Educa&#231;&#227;o Infantil - Munic&#237;pio de Ananindeua (PA),"Projeto de estruturação de concessão administrativa para construção, manutenção, conservação, gestão e operação dos serviços não pedagógicos de 10 a 20 novas unidades educacionais da rede municipal de educação infantil do município de Ananindeua (PA).",Social Infrastructure,School,SEPPI,Ananindeua,,,Ananindeua,26432000.0,BRL,26432000.0 BRL,Project Definition,True,New,,,,,fb512450-78ef-4d52-9fe2-1faccb522016
Api test 1,Api Test Description,Transport,Airport,SEPPI,,,,,500000.0,,,Project Definition,True,New,,,,,fbf64536-0ab5-49bd-8d69-d9d1dc145c7a
"Fazenda Pau D'Alho, localizada no estado de São Paulo",A Definir,Social Infrastructure,Tourist Facility,SEPPI,São Paulo,,,São Paulo,9674720.0,BRL,9674720.0 BRL,Project Definition,True,Refurbishment/Replacement,,,,,fe42f0b2-f4b9-4518-94ce-bb1f73434379
Saneamento Básico - Estado de Goiás,A Definir,Water & Waste,Water Supply Infrastructure,SEPPI,Goiás,,,Goiás,1161600000.0,BRL,1161600000.0 BRL,Project Definition,True,Expansion,,,,,ffb78704-9433-40d1-9d61-af917924f5a1
Ilumina&#231;&#227;o P&#250;blica - Itumbiara (GO),A definir,Urban Services,Street Lighting,SEPPI,Itumbiara,,,Itumbiara,4653206.964,BRL,4653206.964 BRL,Project Definition,True,Refurbishment/Replacement,,,,,ffffc87d-82c5-456f-a9c8-485d389c6036
