2026-02-13 11:52:45,271 - ERROR - Erro 500 no projeto a70d583a-fe42-44f1-8637-1ab219889a70
2026-02-13 11:53:46,645 - ERROR - Erro 500 no projeto d71f7fad-3824-411b-9747-35cdb603747e
2026-04-02 10:11:02,400 - ERROR - Erro 500 no projeto e87345f1-cd99-4071-a2e9-74ad1eb36787
2026-04-02 10:11:06,532 - ERROR - Erro 500 no projeto ad90c00e-f42d-4417-b3ee-eba9b77c326a
2026-04-02 10:11:37,041 - ERROR - Erro de requisição para o projeto 43cd2f4b-7147-458d-be96-863ad3d35a00: HTTPSConnectionPool(host='api.sif-source.org', port=443): Read timed out. (read timeout=30)
2026-04-02 10:11:41,876 - ERROR - Erro 500 no projeto d842d6bf-2fd8-4d13-812b-055879f0c7d5

==================================================
Início da execução PROJECT INFO: 2026-04-02 10:13:01
Total de requisições: 278
Threads simultâneas: 15
2026-04-02 10:13:30 - GUID: 7aa3c61e-ff19-4804-ad09-7515d969c1f4 - SUCESSO
2026-04-02 10:13:30 - GUID: 6b4cd7b1-40d5-4e7f-849a-8655705dcfeb - SUCESSO
2026-04-02 10:13:30 - GUID: 2cad717e-cba2-4998-8eda-2b0a0af28641 - SUCESSO
2026-04-02 10:13:30 - GUID: 3cc782fb-74a8-4ff2-8c65-64a6c28c739a - SUCESSO
2026-04-02 10:13:30 - GUID: 70cd0711-dd07-4560-9e0c-94e137aaf873 - SUCESSO
2026-04-02 10:13:30 - GUID: 0792a4e2-a8a8-465d-aa5c-f673d3bb7143 - SUCESSO
2026-04-02 10:13:30 - GUID: c22453be-53b3-42e8-993c-044445988e3b - SUCESSO
2026-04-02 10:13:31 - GUID: 7e46d891-720e-48ff-bb15-c2ca910ae463 - SUCESSO
2026-04-02 10:13:31 - GUID: 2256fe19-a38f-4050-851c-23ab4d8f8dad - SUCESSO
2026-04-02 10:13:31 - GUID: edd8e91e-71c1-4658-8cb9-9de6cae06522 - SUCESSO
2026-04-02 10:13:31 - GUID: 3bfaea01-7c1e-400c-9fe2-df6f406edce8 - SUCESSO
2026-04-02 10:13:33 - GUID: 22044c07-aa2f-42ee-9331-2628dc64fc6a - SUCESSO
2026-04-02 10:13:34 - GUID: 926c1e8a-6353-4e59-9dc4-2abe7451ecbd - SUCESSO
2026-04-02 10:13:34 - GUID: 56e91a40-09ed-4e76-84f8-6ad7119a3ba5 - SUCESSO
2026-04-02 10:13:34 - GUID: 69e37415-0718-42d9-bafb-993289d02b23 - SUCESSO
2026-04-02 10:13:35 - GUID: 73401929-6a21-46d5-9bc8-9e42d5187737 - SUCESSO
2026-04-02 10:13:35 - GUID: d5712e3d-b65c-4eee-80c9-0959c730a366 - SUCESSO
2026-04-02 10:13:35 - GUID: 52665076-da05-478f-9dea-4111860909e0 - SUCESSO
2026-04-02 10:13:36 - GUID: fe42f0b2-f4b9-4518-94ce-bb1f73434379 - SUCESSO
